Symbol,GICS Sector,GICS Sub-Industry
CVS,Health Care,Health Care Services
DHR,Health Care,Life Sciences Tools & Services
DRI,Consumer Discretionary,Restaurants
DVA,Health Care,Health Care Services
DAY,Industrials,Human Resource & Employment Services
DECK,Consumer Discretionary,Footwear
DE,Industrials,Agricultural & Farm Machinery
DELL,Information Technology,"Technology Hardware, Storage & Peripherals"
DAL,Industrials,Passenger Airlines
DVN,Energy,Oil & Gas Exploration & Production
DXCM,Health Care,Health Care Equipment
FANG,Energy,Oil & Gas Exploration & Production
DLR,Real Estate,Data Center REITs
DG,Consumer Staples,Consumer Staples Merchandise Retail
DLTR,Consumer Staples,Consumer Staples Merchandise Retail
D,Utilities,Multi-Utilities
DPZ,Consumer Discretionary,Restaurants
DASH,Consumer Discretionary,Specialized Consumer Services
DOV,Industrials,Industrial Machinery & Supplies & Components
DOW,Materials,Commodity Chemicals
DHI,Consumer Discretionary,Homebuilding
DTE,Utilities,Multi-Utilities
DUK,Utilities,Electric Utilities
DD,Materials,Specialty Chemicals
EMN,Materials,Specialty Chemicals
ETN,Industrials,Electrical Components & Equipment
EBAY,Consumer Discretionary,Broadline Retail
ECL,Materials,Specialty Chemicals
EIX,Utilities,Electric Utilities
EW,Health Care,Health Care Equipment
EA,Communication Services,Interactive Home Entertainment
ELV,Health Care,Managed Health Care
EMR,Industrials,Electrical Components & Equipment
ENPH,Information Technology,Semiconductor Materials & Equipment
ETR,Utilities,Electric Utilities
EOG,Energy,Oil & Gas Exploration & Production
EPAM,Information Technology,IT Consulting & Other Services
EQT,Energy,Oil & Gas Exploration & Production
EFX,Industrials,Research & Consulting Services
EQIX,Real Estate,Data Center REITs
EQR,Real Estate,Multi-Family Residential REITs
ERIE,Financials,Insurance Brokers
ESS,Real Estate,Multi-Family Residential REITs
EL,Consumer Staples,Personal Care Products
EG,Financials,Reinsurance
EVRG,Utilities,Electric Utilities
ES,Utilities,Electric Utilities
EXC,Utilities,Electric Utilities
EXE,Energy,Oil & Gas Exploration & Production
EXPE,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
EXPD,Industrials,Air Freight & Logistics
EXR,Real Estate,Self-Storage REITs
XOM,Energy,Integrated Oil & Gas
FFIV,Information Technology,Communications Equipment
FDS,Financials,Financial Exchanges & Data
FICO,Information Technology,Application Software
FAST,Industrials,Trading Companies & Distributors
FRT,Real Estate,Retail REITs
FDX,Industrials,Air Freight & Logistics
FIS,Financials,Transaction & Payment Processing Services
FITB,Financials,Regional Banks
FSLR,Information Technology,Semiconductors
FE,Utilities,Electric Utilities
FI,Financials,Transaction & Payment Processing Services
F,Consumer Discretionary,Automobile Manufacturers
FTNT,Information Technology,Systems Software
FTV,Industrials,Industrial Machinery & Supplies & Components
FOXA,Communication Services,Broadcasting
FOX,Communication Services,Broadcasting
BEN,Financials,Asset Management & Custody Banks
FCX,Materials,Copper
GRMN,Consumer Discretionary,Consumer Electronics
IT,Information Technology,IT Consulting & Other Services
GE,Industrials,Aerospace & Defense
GEHC,Health Care,Health Care Equipment
GEV,Industrials,Heavy Electrical Equipment
GEN,Information Technology,Systems Software
GNRC,Industrials,Electrical Components & Equipment
GD,Industrials,Aerospace & Defense
GIS,Consumer Staples,Packaged Foods & Meats
GM,Consumer Discretionary,Automobile Manufacturers
GPC,Consumer Discretionary,Distributors
GILD,Health Care,Biotechnology
GPN,Financials,Transaction & Payment Processing Services
GL,Financials,Life & Health Insurance
GDDY,Information Technology,Internet Services & Infrastructure
GS,Financials,Investment Banking & Brokerage
HAL,Energy,Oil & Gas Equipment & Services
HIG,Financials,Property & Casualty Insurance
HAS,Consumer Discretionary,Leisure Products
HCA,Health Care,Health Care Facilities
DOC,Real Estate,Health Care REITs
HSIC,Health Care,Health Care Distributors
HSY,Consumer Staples,Packaged Foods & Meats
HES,Energy,Integrated Oil & Gas
HPE,Information Technology,"Technology Hardware, Storage & Peripherals"
HLT,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
HOLX,Health Care,Health Care Equipment
HD,Consumer Discretionary,Home Improvement Retail
HON,Industrials,Industrial Conglomerates
HRL,Consumer Staples,Packaged Foods & Meats
HST,Real Estate,Hotel & Resort REITs
HWM,Industrials,Aerospace & Defense
HPQ,Information Technology,"Technology Hardware, Storage & Peripherals"
HUBB,Industrials,Industrial Machinery & Supplies & Components
HUM,Health Care,Managed Health Care
HBAN,Financials,Regional Banks
HII,Industrials,Aerospace & Defense
IBM,Information Technology,IT Consulting & Other Services
IEX,Industrials,Industrial Machinery & Supplies & Components
IDXX,Health Care,Health Care Equipment
ITW,Industrials,Industrial Machinery & Supplies & Components
INCY,Health Care,Biotechnology
IR,Industrials,Industrial Machinery & Supplies & Components
PODD,Health Care,Health Care Equipment
INTC,Information Technology,Semiconductors
ICE,Financials,Financial Exchanges & Data
IFF,Materials,Specialty Chemicals
IP,Materials,Paper & Plastic Packaging Products & Materials
IPG,Communication Services,Advertising
INTU,Information Technology,Application Software
ISRG,Health Care,Health Care Equipment
IVZ,Financials,Asset Management & Custody Banks
INVH,Real Estate,Single-Family Residential REITs
IQV,Health Care,Life Sciences Tools & Services
IRM,Real Estate,Other Specialized REITs
JBHT,Industrials,Cargo Ground Transportation
JBL,Information Technology,Electronic Manufacturing Services
JKHY,Financials,Transaction & Payment Processing Services
J,Industrials,Construction & Engineering
JNJ,Health Care,Pharmaceuticals
JCI,Industrials,Building Products
JPM,Financials,Diversified Banks
JNPR,Information Technology,Communications Equipment
K,Consumer Staples,Packaged Foods & Meats
KVUE,Consumer Staples,Personal Care Products
KDP,Consumer Staples,Soft Drinks & Non-alcoholic Beverages
KEY,Financials,Regional Banks
KEYS,Information Technology,Electronic Equipment & Instruments
KMB,Consumer Staples,Household Products
KIM,Real Estate,Retail REITs
KMI,Energy,Oil & Gas Storage & Transportation
KKR,Financials,Asset Management & Custody Banks
KLAC,Information Technology,Semiconductor Materials & Equipment
KHC,Consumer Staples,Packaged Foods & Meats
KR,Consumer Staples,Food Retail
LHX,Industrials,Aerospace & Defense
LH,Health Care,Health Care Services
LRCX,Information Technology,Semiconductor Materials & Equipment
LW,Consumer Staples,Packaged Foods & Meats
LVS,Consumer Discretionary,Casinos & Gaming
LDOS,Industrials,Diversified Support Services
LEN,Consumer Discretionary,Homebuilding
LII,Industrials,Building Products
LLY,Health Care,Pharmaceuticals
LIN,Materials,Industrial Gases
LYV,Communication Services,Movies & Entertainment
LKQ,Consumer Discretionary,Distributors
LMT,Industrials,Aerospace & Defense
L,Financials,Multi-line Insurance
LOW,Consumer Discretionary,Home Improvement Retail
LULU,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
LYB,Materials,Specialty Chemicals
MTB,Financials,Regional Banks
MPC,Energy,Oil & Gas Refining & Marketing
MKTX,Financials,Financial Exchanges & Data
MAR,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
MMC,Financials,Insurance Brokers
MLM,Materials,Construction Materials
MAS,Industrials,Building Products
MA,Financials,Transaction & Payment Processing Services
MTCH,Communication Services,Interactive Media & Services
MKC,Consumer Staples,Packaged Foods & Meats
MCD,Consumer Discretionary,Restaurants
MCK,Health Care,Health Care Distributors
MDT,Health Care,Health Care Equipment
MRK,Health Care,Pharmaceuticals
META,Communication Services,Interactive Media & Services
MET,Financials,Life & Health Insurance
MTD,Health Care,Life Sciences Tools & Services
MGM,Consumer Discretionary,Casinos & Gaming
MCHP,Information Technology,Semiconductors
MU,Information Technology,Semiconductors
MSFT,Information Technology,Systems Software
MAA,Real Estate,Multi-Family Residential REITs
MRNA,Health Care,Biotechnology
MHK,Consumer Discretionary,Home Furnishings
MOH,Health Care,Managed Health Care
TAP,Consumer Staples,Brewers
MDLZ,Consumer Staples,Packaged Foods & Meats
MPWR,Information Technology,Semiconductors
MNST,Consumer Staples,Soft Drinks & Non-alcoholic Beverages
MCO,Financials,Financial Exchanges & Data
MS,Financials,Investment Banking & Brokerage
MOS,Materials,Fertilizers & Agricultural Chemicals
MSI,Information Technology,Communications Equipment
MSCI,Financials,Financial Exchanges & Data
NDAQ,Financials,Financial Exchanges & Data
NTAP,Information Technology,"Technology Hardware, Storage & Peripherals"
NFLX,Communication Services,Movies & Entertainment
NEM,Materials,Gold
NWSA,Communication Services,Publishing
NWS,Communication Services,Publishing
NEE,Utilities,Multi-Utilities
NKE,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
NI,Utilities,Multi-Utilities
NDSN,Industrials,Industrial Machinery & Supplies & Components
NSC,Industrials,Rail Transportation
NTRS,Financials,Asset Management & Custody Banks
NOC,Industrials,Aerospace & Defense
NCLH,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
NRG,Utilities,Independent Power Producers & Energy Traders
NUE,Materials,Steel
NVDA,Information Technology,Semiconductors
NVR,Consumer Discretionary,Homebuilding
NXPI,Information Technology,Semiconductors
ORLY,Consumer Discretionary,Automotive Retail
OXY,Energy,Oil & Gas Exploration & Production
ODFL,Industrials,Cargo Ground Transportation
OMC,Communication Services,Advertising
ON,Information Technology,Semiconductors
OKE,Energy,Oil & Gas Storage & Transportation
ORCL,Information Technology,Application Software
OTIS,Industrials,Industrial Machinery & Supplies & Components
PCAR,Industrials,Construction Machinery & Heavy Transportation Equipment
PKG,Materials,Paper & Plastic Packaging Products & Materials
PLTR,Information Technology,Application Software
PANW,Information Technology,Systems Software
PARA,Communication Services,Movies & Entertainment
PH,Industrials,Industrial Machinery & Supplies & Components
PAYX,Industrials,Human Resource & Employment Services
PAYC,Industrials,Human Resource & Employment Services
PYPL,Financials,Transaction & Payment Processing Services
PNR,Industrials,Industrial Machinery & Supplies & Components
PEP,Consumer Staples,Soft Drinks & Non-alcoholic Beverages
PFE,Health Care,Pharmaceuticals
PCG,Utilities,Multi-Utilities
PM,Consumer Staples,Tobacco
PSX,Energy,Oil & Gas Refining & Marketing
PNW,Utilities,Multi-Utilities
PNC,Financials,Diversified Banks
POOL,Consumer Discretionary,Distributors
PPG,Materials,Specialty Chemicals
PPL,Utilities,Electric Utilities
PFG,Financials,Life & Health Insurance
PG,Consumer Staples,Personal Care Products
PGR,Financials,Property & Casualty Insurance
PLD,Real Estate,Industrial REITs
PRU,Financials,Life & Health Insurance
PEG,Utilities,Electric Utilities
PTC,Information Technology,Application Software
PSA,Real Estate,Self-Storage REITs
PHM,Consumer Discretionary,Homebuilding
PWR,Industrials,Construction & Engineering
QCOM,Information Technology,Semiconductors
DGX,Health Care,Health Care Services
RL,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
RJF,Financials,Investment Banking & Brokerage
RTX,Industrials,Aerospace & Defense
O,Real Estate,Retail REITs
REG,Real Estate,Retail REITs
REGN,Health Care,Biotechnology
RF,Financials,Regional Banks
RSG,Industrials,Environmental & Facilities Services
RMD,Health Care,Health Care Equipment
RVTY,Health Care,Health Care Equipment
ROK,Industrials,Electrical Components & Equipment
ROL,Industrials,Environmental & Facilities Services
ROP,Information Technology,Electronic Equipment & Instruments
ROST,Consumer Discretionary,Apparel Retail
RCL,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
SPGI,Financials,Financial Exchanges & Data
CRM,Information Technology,Application Software
SBAC,Real Estate,Telecom Tower REITs
SLB,Energy,Oil & Gas Equipment & Services
STX,Information Technology,"Technology Hardware, Storage & Peripherals"
SRE,Utilities,Multi-Utilities
NOW,Information Technology,Systems Software
SHW,Materials,Specialty Chemicals
SPG,Real Estate,Retail REITs
SWKS,Information Technology,Semiconductors
SJM,Consumer Staples,Packaged Foods & Meats
SW,Materials,Paper & Plastic Packaging Products & Materials
SNA,Industrials,Industrial Machinery & Supplies & Components
SOLV,Health Care,Health Care Technology
SO,Utilities,Electric Utilities
LUV,Industrials,Passenger Airlines
SWK,Industrials,Industrial Machinery & Supplies & Components
SBUX,Consumer Discretionary,Restaurants
STT,Financials,Asset Management & Custody Banks
STLD,Materials,Steel
STE,Health Care,Health Care Equipment
SYK,Health Care,Health Care Equipment
SMCI,Information Technology,"Technology Hardware, Storage & Peripherals"
SYF,Financials,Consumer Finance
SNPS,Information Technology,Application Software
SYY,Consumer Staples,Food Distributors
TMUS,Communication Services,Wireless Telecommunication Services
TROW,Financials,Asset Management & Custody Banks
TTWO,Communication Services,Interactive Home Entertainment
TPR,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
TRGP,Energy,Oil & Gas Storage & Transportation
TGT,Consumer Staples,Consumer Staples Merchandise Retail
TEL,Information Technology,Electronic Manufacturing Services
TDY,Information Technology,Electronic Equipment & Instruments
TER,Information Technology,Semiconductor Materials & Equipment
TSLA,Consumer Discretionary,Automobile Manufacturers
TXN,Information Technology,Semiconductors
TPL,Energy,Oil & Gas Exploration & Production
TXT,Industrials,Aerospace & Defense
TMO,Health Care,Life Sciences Tools & Services
TJX,Consumer Discretionary,Apparel Retail
TKO,Communication Services,Movies & Entertainment
TSCO,Consumer Discretionary,Other Specialty Retail
TT,Industrials,Building Products
TDG,Industrials,Aerospace & Defense
TRV,Financials,Property & Casualty Insurance
TRMB,Information Technology,Electronic Equipment & Instruments
TFC,Financials,Diversified Banks
TYL,Information Technology,Application Software
TSN,Consumer Staples,Packaged Foods & Meats
USB,Financials,Diversified Banks
UBER,Industrials,Passenger Ground Transportation
UDR,Real Estate,Multi-Family Residential REITs
ULTA,Consumer Discretionary,Other Specialty Retail
UNP,Industrials,Rail Transportation
UAL,Industrials,Passenger Airlines
UPS,Industrials,Air Freight & Logistics
URI,Industrials,Trading Companies & Distributors
UNH,Health Care,Managed Health Care
UHS,Health Care,Health Care Facilities
VLO,Energy,Oil & Gas Refining & Marketing
VTR,Real Estate,Health Care REITs
VLTO,Industrials,Environmental & Facilities Services
VRSN,Information Technology,Internet Services & Infrastructure
VRSK,Industrials,Research & Consulting Services
VZ,Communication Services,Integrated Telecommunication Services
VRTX,Health Care,Biotechnology
VTRS,Health Care,Pharmaceuticals
VICI,Real Estate,Hotel & Resort REITs
V,Financials,Transaction & Payment Processing Services
VST,Utilities,Electric Utilities
VMC,Materials,Construction Materials
WRB,Financials,Property & Casualty Insurance
GWW,Industrials,Industrial Machinery & Supplies & Components
WAB,Industrials,Construction Machinery & Heavy Transportation Equipment
WBA,Consumer Staples,Drug Retail
WMT,Consumer Staples,Consumer Staples Merchandise Retail
DIS,Communication Services,Movies & Entertainment
WBD,Communication Services,Broadcasting
WM,Industrials,Environmental & Facilities Services
WAT,Health Care,Life Sciences Tools & Services
WEC,Utilities,Electric Utilities
WFC,Financials,Diversified Banks
WELL,Real Estate,Health Care REITs
WST,Health Care,Health Care Supplies
WDC,Information Technology,"Technology Hardware, Storage & Peripherals"
WY,Real Estate,Timber REITs
WSM,Consumer Discretionary,Homefurnishing Retail
WMB,Energy,Oil & Gas Storage & Transportation
WTW,Financials,Insurance Brokers
WDAY,Information Technology,Application Software
WYNN,Consumer Discretionary,Casinos & Gaming
XEL,Utilities,Multi-Utilities
XYL,Industrials,Industrial Machinery & Supplies & Components
YUM,Consumer Discretionary,Restaurants
ZBRA,Information Technology,Electronic Equipment & Instruments
ZBH,Health Care,Health Care Equipment
ZTS,Health Care,Pharmaceuticals
