Symbol,GICS Sector,GICS Sub-Industry
OFIX,Health Care,Medical/Dental Instruments
KIDS,Health Care,Medical/Dental Instruments
OSIS,Technology,Semiconductors
OSIR,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
OSMT,Health Care,Major Pharmaceuticals
OSN,Basic Industries,Steel/Iron Ore
OTEL,Public Utilities,Telecommunications Equipment
OTIC,Health Care,Major Pharmaceuticals
OTTW,Finance,Savings Institutions
OTTR,Public Utilities,Electric Utilities: Central
OTLK,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
OTLKW,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
OSTK,Consumer Services,Catalog/Specialty Distribution
OVID,Health Care,Major Pharmaceuticals
OXBR,Finance,Property-Casualty Insurers
OXBRW,Finance,Property-Casualty Insurers
OXFD,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
OXLC,n/a,n/a
OXLCM,n/a,n/a
OXLCO,n/a,n/a
OXSQ,n/a,n/a
OXSQL,n/a,n/a
PFIN,Technology,Industrial Machinery/Components
PTSI,Transportation,Trucking Freight/Courier Services
PCAR,Capital Goods,Auto Manufacturing
VETS,n/a,n/a
PACB,Capital Goods,Biotechnology: Laboratory Analytical Instruments
PCB,Finance,Major Banks
PEIX,Basic Industries,Major Chemicals
PMBC,Finance,Major Banks
PPBI,Finance,Major Banks
PCRX,Health Care,Major Pharmaceuticals
PACW,Finance,Major Banks
PTIE,Health Care,Major Pharmaceuticals
PAAS,Basic Industries,Precious Metals
PANL,Transportation,Marine Transportation
PZZA,Consumer Services,Restaurants
FRSH,Consumer Services,Restaurants
PRTK,Health Care,Major Pharmaceuticals
TEUM,Technology,EDP Services
PNRL,n/a,n/a
PCYG,Technology,EDP Services
PKBK,Finance,Major Banks
PKOH,Capital Goods,Industrial Specialties
PTNR,Public Utilities,Telecommunications Equipment
PBHC,Finance,Major Banks
PATK,Basic Industries,Forest Products
PNBK,Finance,Major Banks
PATI,Transportation,Trucking Freight/Courier Services
PEGI,Public Utilities,Electric Utilities: Central
PDCO,Health Care,Medical Specialities
PTEN,Energy,Oil & Gas Production
PAVM,Health Care,Medical/Dental Instruments
PAVMW,Health Care,Medical/Dental Instruments
PAVMZ,Health Care,Medical/Dental Instruments
PAYX,Consumer Services,Diversified Commercial Services
PCTY,Technology,Computer Software: Prepackaged Software
PYDS,Finance,Investment Bankers/Brokers/Service
PYPL,Miscellaneous,Business Services
PBBI,Finance,Savings Institutions
CNXN,Consumer Services,Catalog/Specialty Distribution
PCMI,Consumer Services,Catalog/Specialty Distribution
PCSB,Finance,Banks
PCTI,Technology,Radio And Television Broadcasting And Communications Equipment
PDCE,Energy,Oil & Gas Production
PDFS,Technology,EDP Services
PDLI,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
PDLB,Finance,Savings Institutions
PDVW,Public Utilities,Telecommunications Equipment
SKIS,Consumer Services,Hotels/Resorts
PGC,Finance,Commercial Banks
PEGA,Technology,EDP Services
PENN,Consumer Services,Hotels/Resorts
PVAC,Energy,Oil & Gas Production
PFLT,n/a,n/a
PNNT,n/a,n/a
PWOD,Finance,Major Banks
WRLS,Finance,Business Services
WRLSR,Finance,Business Services
WRLSU,Finance,Business Services
WRLSW,Finance,Business Services
PEBO,Finance,Major Banks
PEBK,Finance,Major Banks
PFIS,Finance,Major Banks
PBCT,Finance,Savings Institutions
PBCTP,Finance,Savings Institutions
PUB,Finance,Major Banks
KPFS,Consumer Services,Restaurants
PEP,Consumer Non-Durables,Beverages (Production/Distribution)
PRCP,Capital Goods,Electronic Components
PRFT,Technology,EDP Services
PFMT,Consumer Services,Other Consumer Services
PERI,Technology,EDP Services
PESI,Basic Industries,Environmental Services
PPIH,Capital Goods,Pollution Control Equipment
PTX,Health Care,Major Pharmaceuticals
PGLC,Basic Industries,Precious Metals
PETQ,Health Care,Other Pharmaceuticals
PETS,Health Care,Medical/Nursing Services
PFSW,Miscellaneous,Business Services
PGTI,Capital Goods,Building Products
PHAS,Health Care,Major Pharmaceuticals
PHII,Transportation,Transportation Services
PHIIK,Transportation,Transportation Services
PAHC,Health Care,Major Pharmaceuticals
PHIO,Health Care,Major Pharmaceuticals
PHIOW,Health Care,Major Pharmaceuticals
PLAB,Technology,Semiconductors
PHUN,Technology,EDP Services
PHUNW,Technology,EDP Services
PICO,Finance,Real Estate
PLL,n/a,n/a
PIRS,Health Care,Biotechnology: Commercial Physical & Biological Resarch
PPC,Consumer Non-Durables,Meat/Poultry/Fish
PDD,Miscellaneous,Business Services
PME,n/a,n/a
PNFP,Finance,Major Banks
PT,Technology,"Computer Software: Programming, Data Processing"
PPSI,Consumer Durables,Electrical Products
PXLW,Technology,Semiconductors
EAGL,Consumer Services,Hotels/Resorts
EAGLU,Consumer Services,Hotels/Resorts
EAGLW,Consumer Services,Hotels/Resorts
PLYA,Consumer Services,Hotels/Resorts
PLXS,Technology,Electrical Products
PLUG,Energy,Industrial Machinery/Components
PLBC,Finance,Finance Companies
PS,Technology,"Computer Software: Programming, Data Processing"
PSTI,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
PLXP,Health Care,Major Pharmaceuticals
PNTR,Technology,Radio And Television Broadcasting And Communications Equipment
PCOM,Miscellaneous,Business Services
POLA,Miscellaneous,Industrial Machinery/Components
PTE,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
POOL,Consumer Durables,Industrial Specialties
POPE,Consumer Non-Durables,Environmental Services
BPOP,Finance,Major Banks
BPOPM,Finance,Major Banks
BPOPN,Finance,Major Banks
PTLA,Health Care,Major Pharmaceuticals
PBPB,Consumer Services,Restaurants
PCH,Consumer Services,Real Estate Investment Trusts
POWL,Consumer Durables,Electrical Products
POWI,Technology,Semiconductors
PRAA,Finance,Finance: Consumer Services
PRAH,Health Care,Biotechnology: Commercial Physical & Biological Resarch
PRAN,Health Care,Major Pharmaceuticals
PRPO,Capital Goods,Biotechnology: Laboratory Analytical Instruments
AIPT,Health Care,Industrial Specialties
PFBC,n/a,n/a
PLPC,Basic Industries,Water Supply
PFBI,Finance,Major Banks
PINC,Consumer Services,Other Consumer Services
LENS,Health Care,Medical/Dental Instruments
PSDO,Technology,Retail: Computer Software & Peripheral Equipment
PRGX,Consumer Services,Diversified Commercial Services
PSMT,Consumer Services,Department/Specialty Retail Stores
PNRG,Energy,Oil & Gas Production
PRMW,Consumer Non-Durables,Food Distributors
PRIM,Basic Industries,Water Supply
PVAL,n/a,n/a
PFG,Finance,Accident &Health Insurance
BTEC,n/a,n/a
PXUS,n/a,n/a
GENY,n/a,n/a
PSET,n/a,n/a
PY,n/a,n/a
PMOM,n/a,n/a
USMC,n/a,n/a
PSC,n/a,n/a
PRNB,Health Care,Major Pharmaceuticals
PRTH,Miscellaneous,Business Services
PRTHU,Miscellaneous,Business Services
PRTHW,Miscellaneous,Business Services
PDEX,Health Care,Medical/Dental Instruments
IPDN,Technology,"Computer Software: Programming, Data Processing"
PFIE,Energy,Metal Fabrications
PGNX,Health Care,Major Pharmaceuticals
PRGS,Technology,Computer Software: Prepackaged Software
PFPT,Technology,EDP Services
PRPH,Health Care,Major Pharmaceuticals
PRQR,Health Care,Major Pharmaceuticals
EQRR,n/a,n/a
BIB,n/a,n/a
UBIO,n/a,n/a
TQQQ,n/a,n/a
ZBIO,n/a,n/a
SQQQ,n/a,n/a
BIS,n/a,n/a
PSEC,n/a,n/a
PTGX,Health Care,Major Pharmaceuticals
PTVCA,Finance,Property-Casualty Insurers
PTVCB,Finance,Property-Casualty Insurers
PRTO,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
PTI,Health Care,Major Pharmaceuticals
PRTA,Health Care,Major Pharmaceuticals
PRVB,Health Care,Major Pharmaceuticals
PVBC,Finance,Savings Institutions
PROV,Finance,Savings Institutions
PBIP,Finance,Banks
PMD,Health Care,Medical Specialities
PTC,Technology,Computer Software: Prepackaged Software
PTCT,Health Care,Major Pharmaceuticals
PHCF,Finance,Investment Managers
PULM,Health Care,Major Pharmaceuticals
PLSE,Health Care,Medical/Dental Instruments
PBYI,Health Care,Major Pharmaceuticals
PACQ,Finance,Business Services
PACQU,Finance,Business Services
PACQW,Finance,Business Services
PCYO,Public Utilities,Water Supply
PRPL,Consumer Durables,Home Furnishings
PXS,Transportation,Marine Transportation
QADA,Technology,Computer Software: Prepackaged Software
QADB,Technology,Computer Software: Prepackaged Software
QCRH,Finance,Major Banks
QGEN,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
QIWI,Miscellaneous,Business Services
QRVO,Technology,Semiconductors
QCOM,Technology,Radio And Television Broadcasting And Communications Equipment
QBAK,Technology,Electronic Components
QLYS,Technology,Computer Software: Prepackaged Software
QTNA,Technology,Semiconductors
QTRX,Capital Goods,Biotechnology: Laboratory Analytical Instruments
QTRH,Miscellaneous,Multi-Sector Companies
QRHC,Technology,Diversified Commercial Services
QUIK,Technology,Semiconductors
QDEL,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
QNST,Miscellaneous,Business Services
QUMU,Technology,Computer Software: Prepackaged Software
QTNT,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
QRTEA,Consumer Services,Catalog/Specialty Distribution
QRTEB,Consumer Services,Catalog/Specialty Distribution
QTT,n/a,n/a
RRD,Miscellaneous,Publishing
RCM,Consumer Services,Other Consumer Services
RARX,Health Care,Major Pharmaceuticals
RADA,Consumer Non-Durables,Electronic Components
RDCM,Technology,Computer peripheral equipment
RDUS,Health Care,Major Pharmaceuticals
RDNT,Health Care,Medical Specialities
RDWR,Miscellaneous,Business Services
METC,Energy,Coal Mining
RMBS,Technology,Semiconductors
RAND,Consumer Non-Durables,Textiles
RNDB,Finance,Major Banks
RPD,Technology,Computer Software: Prepackaged Software
RAVE,Consumer Non-Durables,Food Distributors
RAVN,Capital Goods,Specialty Chemicals
RBB,Finance,Major Banks
ROLL,Capital Goods,Metal Fabrications
RICK,Consumer Services,Restaurants
RCMT,Technology,Professional Services
RDI,Consumer Services,Movies/Entertainment
RDIB,Consumer Services,Movies/Entertainment
BCNA,n/a,n/a
BLCN,n/a,n/a
RLM,Health Care,Major Pharmaceuticals
RNWK,Technology,EDP Services
RP,Technology,Computer Software: Prepackaged Software
RETA,Health Care,Major Pharmaceuticals
RCON,Energy,Oilfield Services/Equipment
REPH,Health Care,Major Pharmaceuticals
RRGB,Consumer Services,Restaurants
RRR,Consumer Services,Hotels/Resorts
RDVT,Technology,Computer Software: Prepackaged Software
RDFN,Finance,Real Estate
RDHL,Health Care,Major Pharmaceuticals
RBZ,Consumer Services,Other Specialty Stores
RBZAW,Consumer Services,Other Specialty Stores
REG,Consumer Services,Real Estate Investment Trusts
REGN,Health Care,Major Pharmaceuticals
RGNX,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
RGLS,Health Care,Major Pharmaceuticals
RBNC,Finance,Major Banks
RELV,Health Care,Major Pharmaceuticals
MARK,Consumer Services,Telecommunications Equipment
RNST,Finance,Major Banks
REGI,Basic Industries,Major Chemicals
BIQI,Consumer Non-Durables,Farming/Seeds/Milling
RCII,Technology,Diversified Commercial Services
RGEN,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
REPL,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
RBCAA,Finance,Major Banks
FRBK,Finance,Major Banks
REFR,Miscellaneous,Multi-Sector Companies
RESN,Technology,Semiconductors
RECN,Miscellaneous,Business Services
HAIR,Health Care,Medical/Dental Instruments
TORC,Health Care,Major Pharmaceuticals
ROIC,Consumer Services,Real Estate Investment Trusts
RETO,Capital Goods,Industrial Machinery/Components
RTRX,Health Care,Major Pharmaceuticals
RVNC,Health Care,Major Pharmaceuticals
RVEN,Consumer Services,Real Estate Investment Trusts
RVLT,Consumer Durables,Building Products
RWLK,Health Care,Industrial Specialties
RFIL,Capital Goods,Electrical Products
RGCO,Public Utilities,Oil & Gas Production
RBKB,Finance,Banks
RYTM,Health Care,Major Pharmaceuticals
RBBN,Technology,EDP Services
RIBT,Consumer Non-Durables,Packaged Foods
RELL,Consumer Non-Durables,Electronic Components
RIGL,Health Care,Major Pharmaceuticals
RNET,Consumer Services,Telecommunications Equipment
RMNI,Miscellaneous,Business Services
RIOT,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
REDU,Consumer Services,Other Consumer Services
RTTR,Health Care,Major Pharmaceuticals
RVSB,Finance,Savings Institutions
RIVE,Finance,Major Banks
RCKT,Health Care,Major Pharmaceuticals
RMTI,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
RCKY,Consumer Non-Durables,Shoe Manufacturing
RMCF,Consumer Non-Durables,Specialty Foods
ROKU,Consumer Services,Television Services
ROSE,Energy,Oil & Gas Production
ROSEU,Energy,Oil & Gas Production
ROSEW,Energy,Oil & Gas Production
ROST,Consumer Services,Clothing/Shoe/Accessory Stores
RGLD,Basic Industries,Precious Metals
RTIX,Health Care,Industrial Specialties
RBCN,Technology,Semiconductors
RUBY,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
RMBL,Technology,EDP Services
RUSHA,Consumer Durables,Automotive Aftermarket
RUSHB,Consumer Durables,Automotive Aftermarket
RUTH,Consumer Services,Restaurants
RYAAY,Transportation,Air Freight/Delivery Services
STBA,Finance,Major Banks
SANW,Consumer Non-Durables,Farming/Seeds/Milling
SCAC,Finance,Business Services
SCACU,Finance,Business Services
SCACW,Finance,Business Services
SBRA,Consumer Services,Real Estate Investment Trusts
SABR,Technology,"Computer Software: Programming, Data Processing"
SAEX,Energy,Oil & Gas Production
SFET,Technology,Computer Software: Prepackaged Software
SAFT,Finance,Property-Casualty Insurers
SGA,Consumer Services,Broadcasting
SAGE,Health Care,Major Pharmaceuticals
SAIA,Transportation,Trucking Freight/Courier Services
SALM,Consumer Services,Broadcasting
SAL,Finance,Savings Institutions
SAFM,Consumer Non-Durables,Meat/Poultry/Fish
SASR,Finance,Major Banks
SGMO,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
SANM,Technology,Electrical Products
GCVRZ,Health Care,Major Pharmaceuticals
SNY,Health Care,Major Pharmaceuticals
SPNS,Technology,Computer Software: Prepackaged Software
SRPT,Health Care,Major Pharmaceuticals
SVRA,Health Care,Major Pharmaceuticals
SBFG,Finance,Major Banks
SBFGP,Finance,Major Banks
SBBX,Finance,Major Banks
SBAC,Consumer Services,Real Estate Investment Trusts
SCSC,Technology,Retail: Computer Software & Peripheral Equipment
SMIT,Capital Goods,Industrial Machinery/Components
SCHN,Consumer Durables,Industrial Specialties
SRRK,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
SCHL,Consumer Services,Books
SAMA,Finance,Business Services
SAMAU,Finance,Business Services
SAMAW,Finance,Business Services
SGMS,Technology,EDP Services
SCPH,Health Care,Major Pharmaceuticals
WORX,Consumer Services,Services-Misc. Amusement & Recreation
SCYX,Health Care,Major Pharmaceuticals
SEAC,Technology,Radio And Television Broadcasting And Communications Equipment
SBCF,Finance,Major Banks
STX,Technology,Electronic Components
SHIP,Transportation,Marine Transportation
SHIPW,Transportation,Marine Transportation
SHOS,Consumer Services,Department/Specialty Retail Stores
SPNE,Health Care,Medical/Dental Instruments
SGEN,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
EYES,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
EYESW,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
SECO,Consumer Services,Other Specialty Stores
SCWX,Technology,Computer Software: Prepackaged Software
SNFCA,Finance,Finance: Consumer Services
SEEL,Health Care,Major Pharmaceuticals
SEIC,Finance,Investment Bankers/Brokers/Service
SLCT,Finance,Major Banks
SIC,Basic Industries,Homebuilding
SELB,Health Care,Major Pharmaceuticals
SIGI,Finance,Property-Casualty Insurers
SLS,Health Care,Major Pharmaceuticals
LEDS,Technology,Semiconductors
SMTC,Technology,Semiconductors
SENEA,Consumer Non-Durables,Packaged Foods
SENEB,Consumer Non-Durables,Packaged Foods
SNES,Basic Industries,Agricultural Chemicals
SNH,Consumer Services,Real Estate Investment Trusts
SNHNI,Consumer Services,Real Estate Investment Trusts
SNHNL,Consumer Services,Real Estate Investment Trusts
AIHS,Finance,Finance: Consumer Services
SRTS,Health Care,Medical/Dental Instruments
SRTSW,Health Care,Medical/Dental Instruments
STNL,Finance,Business Services
STNLU,Finance,Business Services
STNLW,Finance,Business Services
SQBG,Consumer Non-Durables,Apparel
MCRB,Health Care,Major Pharmaceuticals
SREV,Miscellaneous,Business Services
SFBS,Finance,Major Banks
SESN,Health Care,Major Pharmaceuticals
SVBI,Finance,Major Banks
SGBX,Consumer Services,RETAIL: Building Materials
SGOC,Technology,Radio And Television Broadcasting And Communications Equipment
SMED,Basic Industries,Environmental Services
SHSP,Technology,Computer Software: Prepackaged Software
SHEN,Public Utilities,Telecommunications Equipment
PIXY,Technology,Diversified Commercial Services
SHLO,Capital Goods,Industrial Specialties
TYHT,Consumer Non-Durables,Farming/Seeds/Milling
SCVL,Consumer Services,Clothing/Shoe/Accessory Stores
SHBI,Finance,Major Banks
SSTI,Technology,Computer Software: Prepackaged Software
SFLY,Miscellaneous,Other Consumer Services
SIFI,Finance,Savings Institutions
SIBN,Health Care,Medical/Dental Instruments
SIEB,Finance,Investment Bankers/Brokers/Service
SNNA,Health Care,Major Pharmaceuticals
SIEN,Health Care,Industrial Specialties
BSRR,Finance,Major Banks
SRRA,Health Care,Major Pharmaceuticals
SWIR,Technology,Radio And Television Broadcasting And Communications Equipment
SIFY,Technology,"Computer Software: Programming, Data Processing"
SIGA,Health Care,Major Pharmaceuticals
SGLB,Consumer Durables,Miscellaneous manufacturing industries
SGLBW,Consumer Durables,Miscellaneous manufacturing industries
SGMA,Technology,Electrical Products
SBNY,Finance,Major Banks
SLGN,Consumer Durables,Containers/Packaging
SILC,Technology,Computer Communications Equipment
SLAB,Technology,Semiconductors
SIMO,Technology,Semiconductors
SAMG,Finance,Investment Managers
SSNT,Miscellaneous,Business Services
SFNC,Finance,Major Banks
SLP,Technology,EDP Services
SINA,Technology,Computer Software: Prepackaged Software
SBGI,Consumer Services,Broadcasting
SINO,Transportation,Oil Refining/Marketing
SVA,Health Care,Major Pharmaceuticals
SINT,Health Care,Medical/Dental Instruments
SG,Finance,Property-Casualty Insurers
SIRI,Consumer Services,Broadcasting
SITO,Miscellaneous,Business Services
SKYS,Public Utilities,Electric Utilities: Central
SKYW,Transportation,Air Freight/Delivery Services
SWKS,Technology,Semiconductors
SNBR,Consumer Durables,Home Furnishings
SLM,Finance,Finance: Consumer Services
SLMBP,Finance,Finance: Consumer Services
SGH,Technology,Semiconductors
SND,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
SMBK,Finance,Major Banks
SMSI,Technology,Computer Software: Prepackaged Software
SMTX,Technology,Electrical Products
SRAX,Technology,Advertising
SCKT,Technology,Computer Manufacturing
SOHU,Technology,EDP Services
SLRC,n/a,n/a
SUNS,n/a,n/a
SEDG,Technology,Semiconductors
SLNO,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
SLNOW,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
SLGL,Health Care,Major Pharmaceuticals
SLDB,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
SNGX,Health Care,Major Pharmaceuticals
SNGXW,Health Care,Major Pharmaceuticals
SOLY,n/a,n/a
SNOA,Health Care,Major Pharmaceuticals
SNOAW,Health Care,Major Pharmaceuticals
SONO,Consumer Non-Durables,Consumer Electronics/Appliances
SPHS,Health Care,Major Pharmaceuticals
SORL,Capital Goods,Auto Parts:O.E.M.
SRNE,Health Care,Biotechnology: Commercial Physical & Biological Resarch
SOHO,Consumer Services,Real Estate Investment Trusts
SOHOB,Consumer Services,Real Estate Investment Trusts
SOHOO,Consumer Services,Real Estate Investment Trusts
SOHOK,Consumer Services,Real Estate Investment Trusts
SFBC,Finance,Savings Institutions
SSB,Finance,Major Banks
SFST,Finance,Major Banks
SMBC,Finance,Banks
SONA,Finance,Major Banks
SBSI,Finance,Major Banks
SP,Consumer Services,Rental/Leasing Companies
SGRP,Miscellaneous,Business Services
SPKE,Public Utilities,Power Generation
SPKEP,Public Utilities,Power Generation
ONCE,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
SPAR,Capital Goods,Auto Manufacturing
SPTN,Consumer Non-Durables,Food Distributors
DWFI,n/a,n/a
SPPI,Health Care,Major Pharmaceuticals
SPRO,Health Care,Major Pharmaceuticals
ANY,Technology,EDP Services
SPEX,Miscellaneous,Multi-Sector Companies
SPI,Technology,Semiconductors
SAVE,Transportation,Air Freight/Delivery Services
STXB,Finance,Major Banks
SPLK,Technology,Computer Software: Prepackaged Software
SPOK,Public Utilities,Telecommunications Equipment
SPWH,Consumer Services,Other Specialty Stores
SBPH,Health Care,Major Pharmaceuticals
FUND,Consumer Services,Miscellaneous
SFM,Consumer Services,Food Chains
SPSC,Technology,Computer Software: Prepackaged Software
SSNC,Technology,Computer Software: Prepackaged Software
SSLJ,Finance,Diversified Commercial Services
SSRM,Basic Industries,Precious Metals
STAA,Health Care,Ophthalmic Goods
STAF,Technology,Professional Services
STMP,Miscellaneous,Business Services
STND,Finance,Major Banks
SBLK,Transportation,Marine Transportation
SBLKZ,Transportation,Marine Transportation
SBUX,Consumer Services,Restaurants
STFC,Finance,Property-Casualty Insurers
MITO,Health Care,Major Pharmaceuticals
GASS,Transportation,Marine Transportation
STCN,Miscellaneous,Business Services
STLD,Basic Industries,Steel/Iron Ore
SMRT,Consumer Services,Clothing/Shoe/Accessory Stores
SBOT,Health Care,Major Pharmaceuticals
STML,Health Care,Major Pharmaceuticals
SRCL,Basic Industries,Environmental Services
SBT,Finance,Savings Institutions
STRL,Basic Industries,Military/Government/Technical
SHOO,Consumer Non-Durables,Shoe Manufacturing
SSFN,Finance,Major Banks
SFIX,Consumer Services,Catalog/Specialty Distribution
SYBT,Finance,Major Banks
BANX,n/a,n/a
STNE,Technology,EDP Services
SSKN,Health Care,Medical/Dental Instruments
SSYS,Technology,Computer peripheral equipment
STRA,Consumer Services,Other Consumer Services
HNDL,n/a,n/a
STRT,Capital Goods,Auto Parts:O.E.M.
STRS,Consumer Services,Homebuilding
STRM,Technology,EDP Services
SBBP,Health Care,Major Pharmaceuticals
SUMR,Consumer Durables,Miscellaneous manufacturing industries
SMMF,Finance,Major Banks
SSBI,n/a,n/a
SMMT,Health Care,Major Pharmaceuticals
WISA,Technology,Semiconductors
SNHY,Capital Goods,Metal Fabrications
SNDE,Energy,Oil & Gas Production
SNSS,Health Care,Major Pharmaceuticals
STKL,Consumer Services,Farming/Seeds/Milling
SPWR,Technology,Semiconductors
RUN,Capital Goods,Industrial Specialties
SUNW,Public Utilities,Telecommunications Equipment
SPCB,Technology,Semiconductors
SCON,Technology,Radio And Television Broadcasting And Communications Equipment
SGC,Consumer Non-Durables,Apparel
SUPN,Health Care,Major Pharmaceuticals
SPRT,Technology,EDP Services
SURF,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
SGRY,Health Care,Hospital/Nursing Management
SRDX,Health Care,Medical/Dental Instruments
STRO,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
SIVB,Finance,Major Banks
SVMK,Technology,"Computer Software: Programming, Data Processing"
SYKE,Technology,EDP Services
SYMC,Technology,Computer Software: Prepackaged Software
SYNC,Technology,"Computer Software: Programming, Data Processing"
SYNL,Basic Industries,Steel/Iron Ore
SYNA,Technology,Semiconductors
SNCR,Technology,EDP Services
SNDX,Health Care,Major Pharmaceuticals
SYNH,Health Care,Biotechnology: Commercial Physical & Biological Resarch
SGYP,Health Care,Major Pharmaceuticals
SYBX,n/a,n/a
SNPS,Technology,Computer Software: Prepackaged Software
SES,Basic Industries,Major Chemicals
THOR,Health Care,Major Pharmaceuticals
SYPR,Capital Goods,Industrial Machinery/Components
SYRS,Health Care,Major Pharmaceuticals
TROW,Finance,Investment Bankers/Brokers/Service
TTOO,Health Care,Medical/Dental Instruments
TRHC,Miscellaneous,Business Services
TCMD,Health Care,Medical/Dental Instruments
TAIT,Consumer Non-Durables,Electronic Components
TLC,Health Care,Major Pharmaceuticals
TTWO,Technology,Computer Software: Prepackaged Software
TLND,Technology,Computer Software: Prepackaged Software
TNDM,Health Care,Medical/Dental Instruments
TLF,Consumer Non-Durables,Apparel
TANH,Basic Industries,Major Chemicals
TAOP,Technology,Computer Software: Prepackaged Software
TEDU,Consumer Services,Other Consumer Services
TATT,Capital Goods,Aerospace
TAYD,Capital Goods,Industrial Machinery/Components
CGBD,n/a,n/a
TCRR,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AMTD,Finance,Investment Bankers/Brokers/Service
PETZ,Consumer Non-Durables,Packaged Foods
TECD,Technology,Retail: Computer Software & Peripheral Equipment
TCCO,Technology,Radio And Television Broadcasting And Communications Equipment
TTGT,Miscellaneous,Business Services
TGLS,Consumer Durables,Electronic Components
TGEN,Capital Goods,Industrial Machinery/Components
TNAV,Capital Goods,Industrial Machinery/Components
TLGT,Health Care,Major Pharmaceuticals
TELL,Energy,Oil & Gas Production
TENB,Technology,Computer Software: Prepackaged Software
TENX,Health Care,Biotechnology: Commercial Physical & Biological Resarch
TZAC,Finance,Business Services
TZACU,Finance,Business Services
TZACW,Finance,Business Services
TER,Capital Goods,Electrical Products
TERP,Public Utilities,Electric Utilities: Central
TBNK,Finance,Savings Institutions
TSLA,Capital Goods,Auto Manufacturing
TESS,Consumer Non-Durables,Electronic Components
TTEK,Consumer Services,Military/Government/Technical
TTPH,Health Care,Major Pharmaceuticals
TCBI,Finance,Major Banks
TCBIL,Finance,Major Banks
TCBIP,Finance,Major Banks
TXN,Technology,Semiconductors
TXRH,Consumer Services,Restaurants
TFSL,Finance,Savings Institutions
TGTX,Health Care,Major Pharmaceuticals
WTER,Consumer Non-Durables,Food Distributors
ANDE,Consumer Services,Farming/Seeds/Milling
TBBK,Finance,Major Banks
BPRN,n/a,n/a
CG,Finance,Investment Managers
TCGP,Finance,Investment Managers
CAKE,Consumer Services,Restaurants
CHEF,Consumer Non-Durables,Food Distributors
TCFC,Finance,Major Banks
DSGX,Technology,Computer Software: Prepackaged Software
DXYN,Consumer Durables,Home Furnishings
ENSG,Health Care,Hospital/Nursing Management
XONE,Capital Goods,Industrial Machinery/Components
FBMS,Finance,Major Banks
FLIC,Finance,Major Banks
GT,Consumer Durables,Automotive Aftermarket
HABT,Consumer Services,Restaurants
HCKT,Consumer Services,Professional Services
HAIN,Consumer Non-Durables,Packaged Foods
CUBA,n/a,n/a
INTG,Consumer Services,Building operators
JYNT,Miscellaneous,Multi-Sector Companies
KEYW,Technology,EDP Services
KHC,Consumer Non-Durables,Packaged Foods
OLD,n/a,n/a
LOVE,Consumer Services,Other Specialty Stores
MSG,Consumer Services,Services-Misc. Amusement & Recreation
MDCO,Health Care,Major Pharmaceuticals
MEET,Consumer Services,Advertising
MIK,Consumer Services,Recreational Products/Toys
MIDD,Technology,Industrial Machinery/Components
NAVG,Finance,Property-Casualty Insurers
SLIM,n/a,n/a
STKS,Consumer Services,Restaurants
ORG,n/a,n/a
PRSC,Consumer Services,Transportation Services
RMR,Consumer Services,Professional Services
SMPL,Consumer Non-Durables,Packaged Foods
TSG,Technology,"Computer Software: Programming, Data Processing"
TTD,Technology,"Computer Software: Programming, Data Processing"
ULTI,Technology,Computer Software: Prepackaged Software
YORW,Public Utilities,Water Supply
NCTY,Miscellaneous,Business Services
TXMD,Health Care,Major Pharmaceuticals
TRPX,Health Care,Major Pharmaceuticals
TBPH,Health Care,Major Pharmaceuticals
TST,Consumer Services,Newspapers/Magazines
TCRD,n/a,n/a
TBRG,Finance,Business Services
TBRGU,Finance,Business Services
TBRGW,Finance,Business Services
